Name,Date,TSP,PM10,Chloride,Nitrate,Sulfate,Lead,Dust
半屏山電信局,2017年06月,36,21,2.14,5.35,12.7,0.034,4.89
左營國小,2017年06月,25,14,2.3,4.59,13.5,0.021,4.36
永安工業區,2017年06月,33,,3.87,5.13,12.4,0.03,3.57
西子灣中山大學,2017年06月,26,16,5.57,4.19,17.6,0.02,5.34
岡山醫院,2017年06月,28,,4.02,3.02,12.9,0.032,4.88
林園工業區,2017年06月,30,,3.69,2.78,11.9,0.035,4.15
河濱國小,2017年06月,30,20,4.61,5.99,16.8,0.019,3.16
阿蓮區公所,2017年06月,31,,2.05,3.97,11.5,0.021,3.84
前鎮國小,2017年06月,52,26,3.26,4.33,18.5,0.03,3.43
莊敬國小,2017年06月,33,26,1.79,4.4,14.2,0.031,3.9
愛國國小,2017年06月,30,17,2.39,4.73,10.9,0.039,2.59
楠梓區清潔隊,2017年06月,31,16,2.2,5.03,11.8,0.04,8.11
路竹地政事務所,2017年06月,30,,3.21,4.65,9.4,0.019,1.29
鼓山圖書分館,2017年06月,20,14,1.34,2.47,8.9,0.041,3.56
衛生局中正辦公室,2017年06月,35,20,4.7,5.95,19.9,0.02,2.46
環保局環境檢驗科,2017年06月,38,19,5.47,1.63,17.4,0.046,5.74
大社工業區,2017年07月,62,,,,,0.029,1.89
大寮區公所,2017年07月,35,,,,,0.03,2.26
大樹監測站,2017年07月,42,,,,,0.033,1.96
仁武國中,2017年07月,37,,,,,0.027,1.58
半屏山電信局,2017年07月,43,31,,,,0.003,2.84
左營國小,2017年07月,37,18,,,,0.012,5.2
永安工業區,2017年07月,35,,,,,0.029,2.03
西子灣中山大學,2017年07月,38,21,,,,0.017,3.45
岡山醫院,2017年07月,37,,,,,0.03,2.06
林園工業區,2017年07月,36,,,,,0.008,3.16
河濱國小,2017年07月,41,32,,,,0.018,3.49
阿蓮區公所,2017年07月,29,,,,,0.018,1.68
前鎮國小,2017年07月,74,37,,,,0.048,4.2
莊敬國小,2017年07月,40,34,,,,0.017,1.48
愛國國小,2017年07月,54,25,,,,0.032,2.8
楠梓區清潔隊,2017年07月,40,18,,,,0.033,3.02
路竹地政事務所,2017年07月,28,,,,,0.057,2.44
鼓山圖書分館,2017年07月,45,20,,,,0.028,2.5
衛生局中正辦公室,2017年07月,49,29,,,,0.018,2.95
環保局環境檢驗科,2017年07月,46,29,,,,0.018,2.44
大社工業區,2017年08月,46,,,,,0.013,4.74
大寮區公所,2017年08月,22,,,,,0.025,2.69
大樹監測站,2017年08月,27,,,,,0.013,2.47
仁武國中,2017年08月,32,,,,,0.013,2.23
半屏山電信局,2017年08月,32,22,,,,0.002,1.33
左營國小,2017年08月,30,15,,,,0.002,3.38
永安工業區,2017年08月,36,,,,,0.013,1.27
西子灣中山大學,2017年08月,37,14,,,,0.002,1.81
岡山醫院,2017年08月,34,,,,,0.003,1.32
林園工業區,2017年08月,37,,,,,0.03,3.06
河濱國小,2017年08月,24,16,,,,0.008,2.16
阿蓮區公所,2017年08月,34,,,,,0.008,1.08
前鎮國小,2017年08月,65,38,,,,0.013,2.83
莊敬國小,2017年08月,37,29,,,,0.008,2.53
愛國國小,2017年08月,53,23,,,,0.037,1.21
楠梓區清潔隊,2017年08月,35,16,,,,0.011,1.99
路竹地政事務所,2017年08月,35,,,,,0.003,1.08
鼓山圖書分館,2017年08月,24,14,,,,0.002,1.46
衛生局中正辦公室,2017年08月,24,15,,,,0.012,1.72
環保局環境檢驗科,2017年08月,39,21,,,,0.003,1.77
大社工業區,2017年09月,88,,4.61,3.38,14.5,0.031,9.14
大寮區公所,2017年09月,78,,4.06,1.55,6.95,0.041,1.67
大樹監測站,2017年09月,84,,4.47,3.4,6.84,0.005,1.86
仁武國中,2017年09月,84,,3.69,2.51,6.68,0.02,1.69
半屏山電信局,2017年09月,50,41,2.64,5.49,10.9,0.026,1.62
左營國小,2017年09月,51,27,3.47,6.14,13.2,0.019,3.02
永安工業區,2017年09月,72,,5.95,4.21,12.4,0.02,2.75
