Name,NO,Date,Time,WTemperature,Sampling_depth,Description,Temperature,Water_temperature,Salt,pH,Conductivity,Transparency,Suspended_solids,COD,BOD5,Dissolved_oxygen,Cl,Nitrate_nitrogen,Ammonia_nitrogen,TP,E-coli,Pb,Cd,Cu,Fe,Zn,Cr,Ni,Hg,DOS
後港橋,1034,2017/6/13,11:49,,,,31.4,30.8,0.3,7.9,720,0.09,10.2,28.2,7.1,3.4,40.3,,4.63,,62000,,,,,,,,,
民族橋,1033,2017/6/13,11:31,,,,31,30.4,0.2,7.8,510,0.18,9.2,23.2,6.6,3.1,24.9,,4.95,,130000,,,,,,,,,
龍心橋,1030,2017/6/13,17:06,,,,32.7,32.1,2.6,8.1,5490,0.19,19.3,40.9,12.7,2.4,1680,,5.32,,720000,,,,,,,,,
九如橋,1025,2017/6/13,16:53,,,,34.1,33.6,6,8.6,11600,0.19,22.3,58.1,24.4,5,3610,,3.8,,3000,,,,,,,,,
七賢橋,1027,2017/6/13,16:42,,,,33.8,33.2,10.7,8.4,19400,0.19,12.1,43,15.5,4.5,6190,,4.46,,540000,,,,,,,,,
高雄橋,1029,2017/6/13,16:34,,,,33.5,33,14.2,8.4,20300,0.2,13.9,35.8,14.3,4.8,8330,,3.79,,360000,,,,,,,,,
臨海橋,1281,2017/6/6,13:00,,,,31.9,31.2,5.4,7.6,10500,,5.6,14.9,5.1,2.6,,,6.29,,,,,,,,,,,
前鎮橋,1282,2017/6/6,13:17,,,,32.8,31.8,7,7.7,13000,,5.5,19.3,6.9,1.9,,,6.8,,,,,,,,,,,
仁武橋,1287,2017/6/7,13:40,,,,32.9,33.2,0.9,7.7,1870,,10.9,29,6.8,3.4,,,5.19,,,,,0.007,,0.02,,-0.0039,,
經建橋,1286,2017/6/7,13:59,,,,33.5,34.8,0.4,8.8,910,,6.7,45.2,16.2,8.5,,,16.9,,,,,0.011,,0.02,,-0.0039,,
惠豐橋,1283,2017/6/7,13:22,,,,33.4,32.2,0.9,7.8,1860,,14.4,14.9,5.4,3.8,,,5.11,,,,,0.007,,0.017,,-0.0039,,
興中橋,1284,2017/6/7,13:06,,,,33.8,32.8,1.7,7.9,3500,,16.4,19.2,5.7,6.1,,,9.56,,,,,0.008,,-0.0171,,-0.0039,,
富田橋,401,2017/6/6,09:39,,,,29.2,28.7,0.4,7.9,870,,36.9,32.9,8.7,3.2,,,2.41,,,,,,,,,,,
大東橋,402,2017/6/6,09:59,,,,29.7,29.1,0.3,7.7,770,,16.4,31.4,12.8,2.5,,,2.57,,,,,,,,,,,
橋子頭橋,301,2017/6/12,10:44,,,,32.2,31,0.6,8,1270,,38.5,58.5,17.4,2.5,,,9.44,,,,,,,0.023,,-0.0039,-0.00018,
長潤橋,302,2017/6/12,10:55,,,,30.9,33.3,1.6,8.4,3280,,16.7,38.2,10.3,3.4,,,7.62,,,,,,,0.028,,0.008,0.0002,
典寶橋,303,2017/6/12,16:45,,,,32.1,34,10.9,8.8,19000,,26.9,49.5,16,4.9,,,7.82,,,,,,,0.024,,0.004,0.0002,
岡山橋,201,2017/6/7,10:37,,,,31.2,31.4,0.6,7.7,1820,,14.2,47.9,16.1,3.3,,,10.8,,,,,0.01,,0.04,,0.005,,
河華橋,202,2017/6/7,10:29,,,,30.9,30.8,0.3,7.9,760,,14.2,20,6.2,2.6,,,10.6,,,,,0.007,,0.05,,-0.0039,,
北林路口,,2017/6/6,11:09,,,,29.8,29.1,0.5,8,990,,19.1,68.8,24.1,1.1,,,6.27,,,,,6.27,,,,,,
中鋼南門橋下,,2017/6/6,11:52,,,,31.6,31.4,5.9,7.6,11700,,4.4,31.2,8.6,2.3,,,6.46,,,,,6.46,,,,,,
遊艇碼頭,,2017/6/20,09:57,,,,32.5,30.2,0.2,9.3,309,,14.4,22.3,7.3,10.5,,,0.5,,250,,,,,,,,,
人行拱橋,,2017/6/20,10:12,,,,29.8,31.2,0.2,9.1,317,,11.9,23.9,8.4,9.8,,,0.55,,1800,,,,,,,,,
龍船船塢,,2017/6/20,10:05,,,,31.5,31.2,0.2,9.6,306,,9.4,51.2,16.7,10.2,,,0.5,,420,,,,,,,,,
金獅湖,,2017/6/20,09:21,,,,31.5,30.3,0.2,8.4,368,,41.8,26.1,8.8,7.6,,,0.56,,110,,,,,,,,,
內惟埤,,2017/6/20,09:36,,,,30.5,30.2,0.3,8.7,685,,19.6,30.6,9.4,8.9,,,0.53,,800,,,,,,,,,
